Nazwa pliku: Data/burma14.tsp.txt
Powtórzenia algorytmu: 10
Optymalny koszt: 3323
Otrzymany koszt: ;Wspó³czynnik b³êdu[j]: ;Wspó³czynnik b³êdu[%]: ;Czas wykonywania[ms] ;Rozwi¹zania dla alpha = 1
Rozwi¹zania dla beta = 6
3371 ; 48 ; 1.44448 ; 81.5271 ; 
3371 ; 48 ; 1.44448 ; 68.5171 ; 
3371 ; 48 ; 1.44448 ; 65.2438 ; 
3371 ; 48 ; 1.44448 ; 60.0725 ; 
3371 ; 48 ; 1.44448 ; 65.7146 ; 
3381 ; 58 ; 1.74541 ; 69.5278 ; 
3381 ; 58 ; 1.74541 ; 76.3075 ; 
3381 ; 58 ; 1.74541 ; 77.5279 ; 
3381 ; 58 ; 1.74541 ; 65.5654 ; 
3381 ; 58 ; 1.74541 ; 62.4031 ; 
Œredni czas wykonywania algorytmu [ms]:  ; 63.0004
Œredni wspó³czynnik b³êdu [j]:  ; 53
Œredni wspó³czynnik b³êdu [%]:  ; 1.59494
Optymalny koszt:  ; 3323

Rozwi¹zania dla beta = 7
3371 ; 48 ; 1.44448 ; 64.0463 ; 
3371 ; 48 ; 1.44448 ; 60.8021 ; 
3371 ; 48 ; 1.44448 ; 61.6043 ; 
3371 ; 48 ; 1.44448 ; 65.3049 ; 
3371 ; 48 ; 1.44448 ; 61.9363 ; 
3371 ; 48 ; 1.44448 ; 60.1902 ; 
3371 ; 48 ; 1.44448 ; 60.3759 ; 
3371 ; 48 ; 1.44448 ; 61.6254 ; 
3371 ; 48 ; 1.44448 ; 58.5101 ; 
3371 ; 48 ; 1.44448 ; 59.5489 ; 
Œredni czas wykonywania algorytmu [ms]:  ; 55.4395
Œredni wspó³czynnik b³êdu [j]:  ; 48
Œredni wspó³czynnik b³êdu [%]:  ; 1.44448
Optymalny koszt:  ; 3323

Rozwi¹zania dla beta = 8
3371 ; 48 ; 1.44448 ; 60.5961 ; 
3371 ; 48 ; 1.44448 ; 58.6195 ; 
3371 ; 48 ; 1.44448 ; 60.8461 ; 
3371 ; 48 ; 1.44448 ; 61.2786 ; 
3371 ; 48 ; 1.44448 ; 58.8549 ; 
3371 ; 48 ; 1.44448 ; 59.1524 ; 
3371 ; 48 ; 1.44448 ; 61.651 ; 
3371 ; 48 ; 1.44448 ; 58.6481 ; 
3371 ; 48 ; 1.44448 ; 58.729 ; 
3371 ; 48 ; 1.44448 ; 58.7437 ; 
Œredni czas wykonywania algorytmu [ms]:  ; 53.8376
Œredni wspó³czynnik b³êdu [j]:  ; 48
Œredni wspó³czynnik b³êdu [%]:  ; 1.44448
Optymalny koszt:  ; 3323

Rozwi¹zania dla beta = 9
3371 ; 48 ; 1.44448 ; 60.8189 ; 
3371 ; 48 ; 1.44448 ; 59.1404 ; 
