Nazwa pliku: Data/ftv170.atsp.txt
Powtórzenia algorytmu: 10
Optymalny koszt: 2755
Otrzymany koszt: ;Wspó³czynnik b³êdu[j]: ;Wspó³czynnik b³êdu[%]: ;Czas wykonywania[ms] ;Rozwi¹zania dla alpha = 1
Rozwi¹zania dla beta = 5
3418 ; 663 ; 24.0653 ; 41791.9 ; 
3355 ; 600 ; 21.7786 ; 43186.8 ; 
3360 ; 605 ; 21.9601 ; 45105.4 ; 
3393 ; 638 ; 23.1579 ; 44657.1 ; 
3390 ; 635 ; 23.049 ; 45925.3 ; 
3348 ; 593 ; 21.5245 ; 45359.3 ; 
3373 ; 618 ; 22.4319 ; 46381.9 ; 
3307 ; 552 ; 20.0363 ; 48433.6 ; 
3318 ; 563 ; 20.4356 ; 46748 ; 
3277 ; 522 ; 18.9474 ; 47040.8 ; 
Œredni czas wykonywania algorytmu [ms]:  ; 40758.9
Œredni wspó³czynnik b³êdu [j]:  ; 598.9
Œredni wspó³czynnik b³êdu [%]:  ; 21.7387
Optymalny koszt:  ; 2755

